NROGAR;DESC TIPGAR;MONEDA; M GARANTIA MO ; M GARANTIA MN ; SEGMENTO ; may_1MM 
18874;CUENTAS EN GTIA;PEN; 4,000 ; 4,000 ;Banca Minorista;0
18875;CUENTAS EN GTIA;PEN; 3,840 ; 3,840 ;Banca Minorista;0
18876;FONDO MUTUO;PEN; 960 ; 960 ;Banca Minorista;0
18877;CUENTAS EN GTIA;PEN; 4,980 ; 4,980 ;Banca Minorista;0
18878;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18879;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18880;DEPOSITO A PLAZO;PEN; 18,000 ; 18,000 ;Banca Minorista;0
18881;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18882;CUENTAS EN GTIA;PEN; 2,400 ; 2,400 ;Banca Minorista;0
18883;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18884;DEPOSITO A PLAZO;PEN; 8,000 ; 8,000 ;Banca Minorista;0
18885;CUENTAS EN GTIA;PEN; 1,995 ; 1,995 ;Banca Minorista;0
18886;CUENTAS EN GTIA;PEN; 960 ; 960 ;Banca Minorista;0
18887;DEPOSITO A PLAZO;PEN; 85,000 ; 85,000 ;Banca Minorista;0
18888;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18889;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18890;CUENTAS EN GTIA;PEN; 5,000 ; 5,000 ;Banca Minorista;0
18891;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18892;CUENTAS EN GTIA;PEN; 30,000 ; 30,000 ;Banca Minorista;0
18893;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18894;DEPOSITO A PLAZO;PEN; 40,500 ; 40,500 ;Banca Minorista;0
18895;CUENTAS EN GTIA;PEN; 700 ; 700 ;Banca Minorista;0
18896;FONDO MUTUO;PEN; 1,950 ; 1,950 ;Banca Minorista;0
18897;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18898;CUENTAS EN GTIA;PEN; 2,000 ; 2,000 ;Banca Minorista;0
18899;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18900;FONDO MUTUO;PEN; 35,000 ; 35,000 ;Banca Minorista;0
18901;FONDO MUTUO;USD; 2,000 ; 6,636 ;Banca Minorista;0
18902;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18903;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18904;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18905;DEPOSITO A PLAZO;PEN;-9,500 ;-9,500 ;Banca Minorista;0
18906;CUENTAS EN GTIA;PEN; 30,000 ; 30,000 ;Banca Minorista;0
18907;DEPOSITO A PLAZO;PEN; 5,000 ; 5,000 ;Banca Minorista;0
18908;DEPOSITO A PLAZO;PEN; 23,553 ; 23,553 ;Banca Minorista;0
